time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448250000	20.3608	13.0217	4.64814	1.62047	0.486925	radar	2.05118	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3236	13.2406	4.62205	1.65099	0.491779	lidar	8.98271	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2897	13.4663	4.61602	1.67908	0.494437	radar	1.39124	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2601	13.7438	4.71376	1.70669	0.497282	lidar	9.46438	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2138	13.9572	4.63137	1.73825	0.505399	radar	1.20878	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1513	14.2298	4.72643	1.77136	0.512222	lidar	3.81877	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0847	14.4502	4.69635	1.80322	0.518131	radar	1.6722	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9718	14.7223	4.80411	1.84696	0.53302	lidar	13.7409	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.9045	14.9347	4.7834	1.87144	0.529657	radar	3.0597	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8655	15.1585	4.76088	1.88716	0.520916	lidar	10.5947	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7569	15.3491	4.57316	1.93925	0.553984	radar	9.70426	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7218	15.5393	4.50073	1.95228	0.541922	lidar	14.1402	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6355	15.732	4.46536	1.98058	0.543264	radar	1.17784	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.523	15.961	4.53042	2.01266	0.547479	lidar	1.42228	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4217	16.1635	4.55158	2.03727	0.542547	radar	1.48092	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.3079	16.3476	4.52308	2.06828	0.545527	lidar	4.37499	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1962	16.5368	4.49794	2.0984	0.549257	radar	0.300123	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0536	16.7648	4.59075	2.13034	0.553173	lidar	2.41487	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.9077	16.9533	4.55001	2.1764	0.577909	radar	7.89837	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.717	17.2159	4.75702	2.21302	0.584724	lidar	11.6221	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.6028	17.4172	4.78154	2.22069	0.557694	radar	4.72919	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3793	17.625	4.90333	2.26676	0.572387	lidar	32.0762	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2358	17.8161	4.90996	2.28302	0.556079	radar	2.30306	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1006	17.9983	4.87357	2.30379	0.550468	lidar	5.65766	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9282	18.154	4.83363	2.34069	0.561369	radar	1.93651	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8027	18.2851	4.70443	2.36439	0.557717	lidar	4.34808	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6697	18.4608	4.67846	2.37803	0.543619	radar	6.63495	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4624	18.6514	4.7817	2.40795	0.545903	lidar	2.68036	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2855	18.7917	4.7487	2.43907	0.549962	radar	1.65992	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1263	18.9221	4.68006	2.46528	0.548895	lidar	1.13802	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9568	19.0913	4.69445	2.48153	0.537408	radar	3.24986	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7367	19.2094	4.70972	2.52018	0.546621	lidar	21.245	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5437	19.3655	4.7424	2.54287	0.543145	radar	3.22006	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3053	19.5347	4.86475	2.5694	0.542616	lidar	3.59924	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0865	19.6206	4.83062	2.61129	0.556677	radar	9.96384	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.877	19.7645	4.86376	2.63325	0.552059	lidar	5.45265	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6911	19.8816	4.78866	2.6485	0.535125	radar	3.72847	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4487	20.0383	4.90084	2.66882	0.529907	lidar	7.68067	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2313	20.1826	4.9279	2.68282	0.516755	radar	6.02719	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0482	20.3035	4.87497	2.69913	0.509438	lidar	17.0025	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8192	20.3898	4.87154	2.72981	0.513706	radar	1.8468	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6036	20.5042	4.87763	2.74913	0.508731	lidar	6.1282	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3639	20.5976	4.91638	2.77732	0.512716	radar	0.951059	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1182	20.6708	4.93285	2.80785	0.516486	lidar	4.31504	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8786	20.7469	4.95486	2.83663	0.520728	radar	0.223627	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6	20.8141	5.03094	2.86817	0.524754	lidar	9.88066	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3456	20.8546	5.07705	2.90793	0.541481	radar	2.45551	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1073	20.8933	5.04469	2.93885	0.544639	lidar	1.56118	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8719	20.952	5.0294	2.96198	0.541525	radar	1.79182	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6911	20.9868	4.89078	2.98631	0.540178	lidar	14.0347	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4303	21.0312	4.94938	3.01288	0.540939	radar	2.55968	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1871	21.0676	4.94924	3.03751	0.539039	lidar	0.884792	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9447	21.0897	4.9637	3.06624	0.542586	radar	1.09343	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
